key,value,source,note
"team_members_total","6","SELECT COUNT(*) FROM team_members","roadmap ghi «0 dòng» ⇒ ĐÍNH CHÍNH"
"team_members_active","5","SELECT COUNT(*) ... WHERE active=1",""
"team_members_active_not_left","5","SELECT COUNT(*) ... WHERE active=1 AND left_at IS NULL","định nghĩa «đang hoạt động» của màn Tổ đội"
"team_members_probe_leftover","2","SELECT COUNT(*) ... WHERE id LIKE 'PRB%'","tàn dư fixture của TASK-073"
"teams_total","1","SELECT COUNT(*) FROM teams",""
"teams_active","1","SELECT COUNT(*) FROM teams WHERE active=1","bootstrap JS chỉ trả active=1"
"column.id","varchar(64)|null=NO|default=NULL|key=PRI","information_schema.COLUMNS",""
"column.team_id","varchar(64)|null=NO|default=NULL|key=MUL","information_schema.COLUMNS",""
"column.user_id","varchar(64)|null=NO|default=NULL|key=MUL","information_schema.COLUMNS",""
"column.role_in_team","varchar(255)|null=YES|default=NULL|key=","information_schema.COLUMNS",""
"column.joined_at","datetime(3)|null=NO|default=NULL|key=","information_schema.COLUMNS",""
"column.left_at","datetime(3)|null=YES|default=NULL|key=","information_schema.COLUMNS",""
"column.active","tinyint(1)|null=NO|default=1|key=","information_schema.COLUMNS",""
"column.created_at","datetime(3)|null=NO|default=NULL|key=","information_schema.COLUMNS",""
"column.updated_at","datetime(3)|null=NO|default=NULL|key=undefined","information_schema.COLUMNS",""
"origin.fixture probe-task073","2|2026-01-01 08:00:00.000|2026-01-02 08:00:00.000","team_members.id + created_at",""
"origin.seed task080","4|2026-09-18 01:00:36.122|2026-09-18 01:00:36.122","team_members.id + created_at",""
"route_writes_team_members","no","scripts/system-route.mjs","0 action ghi ⇒ không nạp được qua sản phẩm"
"route_reads_team_members","no","scripts/system-route.mjs","KHÔNG đọc ⇒ khoá teamMembers là Java-only"
"java_read_files","1","java-backend/**/*.java",""
"java_write_files","0","java-backend/**/*.java",""
"seed_file_inserts_team_members","yes","tools/task080-seed-real-data.sql","nguồn nạp 4 dòng thật của TASK-080"
"probe_fixture_inserts","yes","tools/probe-task073-team-members.mjs","nguồn 2 dòng tàn dư"
"cross_check_active_not_zero","5","SELECT COUNT(*) FROM (SELECT id ... WHERE active <> 0) x","câu viết khác dạng phải cho CÙNG kết quả"
"cross_check_match","true","so sánh với team_members_active","đối chứng dương của cổng"
