ghi_chu
=== role_catalog TRUOC KHI SEED (TASK-080B) ===
code	name	base_role	default_organization_unit_id
accountant	Tài chính Kế toán	accountant	NULL
cht	Chỉ huy trưởng	commander	NULL
commander	Chỉ huy trưởng	commander	NULL
da_nv	Nhân viên Phòng Dự án	project	NULL
da_truong	Trưởng phòng Dự án	project	NULL
director	Ban giám đốc	director	NULL
engineer	Kỹ sư	engineer	NULL
kh_nv	Nhân viên Phòng Kế hoạch	procurement	NULL
kh_truong	Trưởng phòng Kế hoạch	procurement	NULL
ksda	Kỹ sư dự án	engineer	NULL
procurement	Phòng Kế hoạch	procurement	NULL
project	Phòng Dự án	project	NULL
team	Tổ đội	team	NULL
thu_kho	Thủ kho dự án	warehouse	NULL
thuky	Thư ký Tổng giám đốc / Trưởng phòng Hành chính Pháp chế	director	NULL
warehouse	Thủ kho	warehouse	NULL
ghi_chu
=== goods_receipts: trang thai xac nhan BCH TRUOC KHI SEED ===
id	receipt_no	bch_confirmation_status	bch_confirmed_by	bch_confirmed_at	bch_comment
GRN_aa6ae52d-f8d6-4e93-81a6-9e2e391cdd2a	GRN-PRJ-DEMO-01-2026-0005	confirmed	USR_2f435847-8a39-44fe-b620-6e52186526e0	2026-09-14 15:57:25.294	BCH xác nhận giao hàng – seed demo
GRN_b975897a-5f98-4d4c-9b6f-9008e24bf166	GRN-PRJ-DEMO-01-2026-0006	pending	NULL	NULL	NULL
GRN_bad529ab-c05b-4e09-99bc-fd1f42b0049a	GRN-PRJ-DEMO-01-2026-0007	pending	NULL	NULL	NULL
GRN_f69d128c-99d0-4800-88a0-6e3327b9f979	GRN-PRJ-DEMO-01-2026-0008	pending	NULL	NULL	NULL
GRN_28032b7d-b721-477e-8cfc-85f415027545	GRN-PRJ-DEMO-01-2026-0009	pending	NULL	NULL	NULL
GRN_04bd4bcd-6ea7-4b23-863f-5c5e68bec67a	GRN-PRJ-DEMO-01-2026-0020	confirmed	NULL	NULL	NULL
GRN_1792713f-faaf-4986-b8c3-9c32714cea28	GRN-PRJ-DEMO-01-2026-0021	confirmed	NULL	NULL	NULL
GRN_5f49f040-1ec3-4811-bccb-ecc454d2eb32	GRN-PRJ-DEMO-01-2026-0022	confirmed	NULL	NULL	NULL
GRN_8bdbf298-0a8e-4f1d-affa-96b7591858bb	GRN-PRJ-DEMO-01-2026-0023	confirmed	NULL	NULL	NULL
GRN_a31182b4-c297-49ba-a80a-3838dbc0b4ca	GRN-PRJ-DEMO-01-2026-0024	confirmed	NULL	NULL	NULL
GRN_a5d4ab42-fc7d-4144-81d9-ee663f82a901	GRN-PRJ-DEMO-01-2026-0025	confirmed	NULL	NULL	NULL
GRN_bb2fec65-1af4-4054-a9f2-7bbe5669f671	GRN-PRJ-DEMO-01-2026-0026	confirmed	NULL	NULL	NULL
GRN_bd1fe0bb-ff90-4fe4-beb2-759e06562f59	GRN-PRJ-DEMO-01-2026-0027	confirmed	NULL	NULL	NULL
GRN_e5f9763c-cacf-4e4e-8dec-0f077a619aee	GRN-PRJ-DEMO-01-2026-0028	confirmed	NULL	NULL	NULL
GRN_e9fdbca0-d4d3-4340-8567-bdbab4596c6a	GRN-PRJ-DEMO-01-2026-0029	confirmed	NULL	NULL	NULL
GRN_b1cbfe5f-1171-4885-8c04-75b3885cd260	GRN-SC161459-2026-0001	confirmed	USR_2f435847-8a39-44fe-b620-6e52186526e0	2026-09-14 15:06:03.371	Smoke SC: BCH xác nhận
ghi_chu
=== users: id that de doi chieu ===
